,pmid,title,abstract,journal,year
30,42633488,Leveraging network pharmacology in the treatment of asthma.,"Asthma, a chronic airway inflammatory disorder driven by multifaceted genetic, cellular and molecular interactions, remains inadequately managed by single-target therapies due to incomplete disease control and adverse effects; this review aimed to explore network pharmacology's role in elucidating multi-target mechanisms of phytotherapeutic agents for asthma, with a focus on integrating ADMET/DMPK profiling to predict clinical translatability and safety. We employed network pharmacology methodologies including target prediction (<i>e.g. via</i> PharmMapper, PubChem), protein-protein interaction network construction (STRING, Cytoscape), pathway enrichment analysis (KEGG, Reactome), molecular docking (AutoDock) and ADMET/DMPK modelling (SwissADME, pkCSM) to dissect multi-component herbal formulations, complemented by literature-mined experimental validations. Analyses identified key asthma-related targets (<i>e.g.</i> IL-17, TNF) and pathways (JAK-STAT, PI3K-AKT), revealing quercetin and kaempferol's multi-target efficacy in reducing airway inflammation and immune dysregulation; favourable ADMET profiles (high oral bioavailability, low toxicity) and DMPK parameters (metabolic stability <i>via</i> CYP inhibition) supported their therapeutic potential in herbal combinations. Network pharmacology, enhanced by ADMET/DMPK integration, advances a holistic understanding of herbal asthma treatments, promoting safe, multi-target drug development. Limitations include data gaps in multi-omics validation and herbal standardization, with future directions leveraging AI-driven predictions for personalized pharmacotherapy.",ADMET & DMPK,2026.0
22,42630617,Association of GH/<i>HaeIII</i> polymorphism with growth and developmental traits of Morkaraman sheep.,"This study investigated the impact of GH gene polymorphism in Morkaraman ewes on placental traits and lamb development characteristics across three years (2020-2022) at Atatürk University Sheep Farm, Erzurum. PCR-RFLP method with <i>HaeIII</i> endonuclease was used to identify GH gene polymorphism. Two genotypes were found in Morkaraman sheep: AA (50.40 %) and AB (49.60 %). Ewes with AA and AB genotypes showed birth weights of 4.32 and 4.43 kg, weaning weights of 14.32 and 15.42 kg, and daily gains of 209 and 223 g, respectively. While GH genotype did not significantly affect birth weight, it significantly influenced weaning weight ( <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>p</mi> <mo><</mo> <mn>0.01</mn></mrow> </math> ) and daily live weight gain ( <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>p</mi> <mo><</mo> <mn>0.05</mn></mrow> </math> ). Placental characteristics examined included placental weight, surface area, efficiency, total cotyledon numbers, cotyledon length and width, cotyledon efficiency, total cotyledon weight, and density. Genotype showed no significant effect on placental traits, but parity significantly affected placental area ( <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>p</mi> <mo><</mo> <mn>0.05</mn></mrow> </math> ). While lamb sex had no impact, delivery type significantly influenced placental weight ( <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>p</mi> <mo><</mo> <mn>0.05</mn></mrow> </math> ). Genotype showed highly significant effects ( <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>p</mi> <mo><</mo> <mn>0.01</mn></mrow> </math> ) on total cotyledon area, weight, and density among cotyledon characteristics. The present study found that Morkaraman ewes with the AB genotype of the GH gene revealed superior growth and placental characteristics, with their lambs also exhibiting enhanced growth traits. The results of the study indicate that beneficial genotypes can be identified from birth, thus leading to the development of improved breeding strategies.",Archives animal breeding,2025.0
24,42629135,Chemokine receptor CX3CR1 modulates microglial activity through Tau and amyloid-β interactions in Alzheimer's disease.,"Alzheimer's disease is one of the most prevalent forms of dementia characterized by neurocognitive decline. Key proteins involved in the progression of disease is amyloid-β and Tau. Abnormal accumulation of amyloid-β senile plaques and Tau neurofibrillary tangles are characteristic features of AD which drives synaptic dysfunction and leads to cognitive decline. Recent studies emphasizes the importance of G-protein coupled receptors in regulating microglial cells and has diverse functions in modulating AD, particularly in the clearance of these pathological proteins. Among these GPCRs, the chemokine receptor CX3CR1 has a critical role at the intersection of pathological proteins and microglial signalling. CX3CR1 receptor mediated signalling influences interaction between microglia and neuron mediating microglial uptake and processing of Aβ and Tau. Aging is also one of the risk factors of AD which alters CX3CR1 signalling, thereby exacerbating disease progression. This review highlights the multifaceted role of CX3CR1 in Tau and Aβ pathology and outlines its signalling mechanisms. Importantly, this review emphasizes the therapeutic potential of targeting the CX3CL1-CX3CR1 axis and involved in protein clearance and reduces neuroinflammation preserving synaptic function, offering a promising way to prevent AD.",Advances in immunology,2026.0
211,42633029,Short-Term Intensive Insulin Therapy as a Remission Induction Strategy in Newly Diagnosed Type 2 Diabetes Mellitus: A Systematic Review.,"Type 2 diabetes mellitus (T2DM) is characterized by progressive β-cell dysfunction, insulin resistance, and glucotoxicity, some of which may remain reversible early in the disease course. Short-term intensive insulin therapy (SIIT) may rapidly normalize hyperglycemia and facilitate β-cell recovery in newly diagnosed T2DM. This systematic review evaluated the effects of SIIT on glycemic control, drug-free remission, β-cell function, durability, and safety. PubMed/MEDLINE, Scopus, and Web of Science were searched for English-language randomized controlled trials published during the five-year period ending in April 2026. Four trials met the eligibility criteria. Because interventions, remission definitions, maintenance strategies, and follow-up periods differed substantially, study-level effect estimates, 95% confidence intervals, and p values were synthesized without statistical pooling. SIIT consistently improved early glycemic control, β-cell function, and insulin sensitivity. In one 245-participant trial, medication-supported hemoglobin A1c (HbA1c) below 6.5% at three months was achieved by 78.7% of participants receiving SIIT plus metformin-pioglitazone versus 59.0% receiving SIIT alone (adjusted p < 0.05); however, 12-month drug-free remission rates were similar at 50.0% and 50.6%, respectively (p = 0.972). Another trial found that linagliptin-metformin maintenance after SIIT increased the adjusted odds of achieving HbA1c below 7.0% at 48 weeks (odds ratio 2.78, 95% confidence interval 1.37-5.65; p = 0.005), although this represented medication-supported glycemic control rather than remission. In a two-year trial, induction SIIT improved β-cell function and insulin sensitivity (all p ≤ 0.0004), but repeated intermittent SIIT did not improve the Insulin Secretion-Sensitivity Index-2 (adjusted difference -35, 95% confidence interval -66 to -3; p = 0.03). Severe hypoglycemia was not reported in trials providing detailed safety data, and transient weight gain was not consistently demonstrated. SIIT may therefore serve as a selective metabolic induction strategy in early T2DM, but durable remission remains uncertain and may depend on effective sequential treatment. Standardized remission definitions, validated response predictors, and longer comparative trials are required before routine implementation.",Cureus,2026.0
66,42633481,Bimetallic metal organic framework modified screen printed electrode for simultaneous voltammetric determination of calcium folinate and methotrexate.,"Calcium folinate (CFT) is a medication used as an antidote to methotrexate (MTT) and as a vitamin against anaemia. MTT is used to treat a variety of carcinomas, including acute lymphoblastic leukaemia, head and neck cancer, gastric cancer, breast cancer and choriocarcinoma. A nanocomposite made of Fe and Mg linked to a 1,4-benzene dicarboxylate ligand metal organic framework (FeMg-BDC MOF) was created for this investigation. Using field emission scanning electron microscopy, the morphology and structure of the Mg-BDC MOF were examined. Next, a screen-printed electrode modified with a synthetic nanocomposite (FeMg-BDC MOF/SPE) was used as the working electrode for voltammetric detection of CFT. The FeMg-BDC MOF/SPE demonstrated high electrocatalytic activity for CFT oxidation as compared to unmodified SPE. The limit of detection is 0.04 μM, and under ideal conditions, the oxidation peak currents of CFT show a linear relationship with its concentration in the range of 0.1 to 390.0 μM. Additionally, when MTT was present, the FeMg-BDC MOF/SPE demonstrated good activity toward CFT determination. The separation of the oxidation peak potentials (255 mV) indicates that differential pulse voltammetry can be used to detect these two medications simultaneously. The devised sensor's applicability was confirmed with outstanding results using CFT and MTT assays in pharmaceutical specimens and urine samples.",ADMET & DMPK,2026.0
221,40881775,The Interface of Gene Editing with Regenerative Medicine.,"The potential of regenerative medicine in the clinical space is vast, given its ability to repair and replace damaged tissues, restore lost functions due to age or disease, and transform personalized therapy. Traditional regenerative medicine and tissue engineering strategies have created specialized tissues using progenitor cells and various biological stimuli. To date, there are many US Food and Drug Administration (FDA)-approved regenerative medicine therapies, such as those for wound healing and orthopedic injuries. Nonetheless, these therapies face challenges, including off-target effects, a lack of precision, and failure to target the disease or injury at its origin. In search of novel, precise, and efficient alternatives, the regenerative medicine landscape is shifting towards genome engineering technologies, particularly gene editing. Clustered regularly interspaced short palindromic repeats (CRISPR)-based gene editing systems enable precise knock-ins, knockouts, transcriptional activation and repression, as well as specific base conversions. This advancement has allowed researchers to treat genetic and degenerative diseases, control cell fate for highly regulated tissue repair, and enhance tissue functions. In this review, we explore the progress and future prospects of CRISPR technologies in regenerative medicine, focusing on how gene editing has led to advanced therapeutic applications and served as a versatile research tool for understanding tissue development and disease progression.","Engineering (Beijing, China)",2025.0
164,42548349,Tolerability and Safety of Nintedanib and Immunosuppression in Autoimmune Inflammatory Myopathy-Associated Progressive Pulmonary Fibrosis.,"Autoimmune-inflammatory myopathy-related interstitial lung diseases (AIM-ILDs) are often progressive and fibrotic. Given their rarity, little is known about the safety and tolerability of antifibrotic nintedanib in combination with immunosuppression in AIM-ILD. Is the addition of nintedanib to immunosuppression safe and tolerable in patients with AIM-ILD, and does nintedanib administration induce peripheral blood cell gene expression changes? This was a single-arm, open-label trial to assess safety and tolerability of nintedanib with immunosuppression. Patients with progressive, fibrotic AIM-ILD on background immunosuppression were given nintedanib for 24 weeks. The primary end point was the percentage of patients who took ≥ 90% study drug doses. The secondary end points included safety (adverse events) and efficacy (lung function) outcomes. Bulk RNA sequencing of peripheral blood was performed at baseline and each subsequent visit to examine gene expression. A total of 11 participants were enrolled; of these, 9 completed the study visits as per protocol. The trial was discontinued due to slow recruitment. Three participants (27%) took ≥ 90% doses of nintedanib. Drug compliance ranged from 27% to 95%. The most common adverse events were diarrhea, nausea/vomiting, and abdominal pain. There were no overall significant changes in lung function, or difference in gene expression in peripheral blood over time identified. Tolerability of combined nintedanib and immunosuppression in AIM-ILD appears challenging. Nintedanib treatment did not induce measurable gene expression changes in peripheral blood. However, the study's small sample size, compounded by recruitment difficulties leading to early discontinuation, restricts the robustness and generalizability of the findings. ClinicalTrials.gov; No.: NCT05335278; URL: www.clinicaltrials.gov.",CHEST pulmonary,2026.0
241,42630837,The impact of SGLT2 inhibitors on uric acid levels in patients with heart failure with preserved ejection fraction: integration of mechanisms and clinical evidence.,"Hyperuricemia (HUA) is a prevalent comorbidity in patients with heart failure with preserved ejection fraction (HFpEF) and is closely associated with disease progression and adverse outcomes. Sodium-glucose cotransporter 2 (SGLT2) inhibitors can rapidly and sustainably reduce serum uric acid (SUA) levels and lower the incidence of HUA-related clinical events; however, their underlying mechanisms remain unclear. This study employed network pharmacology and molecular docking to systematically investigate the potential mechanisms of SGLT2 inhibitors in HFpEF patients with concomitant hyperuricemia, focusing on uric acid metabolism modulation and inflammation-related pathways. Additionally, a machine learning approach was applied to retrospectively analyze the effects of SGLT2 inhibitors on SUA levels, aiming to clarify the therapy's biological basis and clinical relevance. The SMILES structures of eleven SGLT2 inhibitors were retrieved from PubChem. Potential drug targets were predicted via the SwissTargetPrediction platform and intersected with HFpEF- and HUA-related targets obtained from OMIM and GeneCards to identify common targets. Protein-protein interaction (PPI) networks were constructed using STRING to identify hub genes, followed by Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses using DAVID. Molecular docking with AutoDock Vina assessed binding affinities. Clinical data of HFpEF patients were collected, and a classification model based on 34 clinical variables was developed using the FLAML automated machine learning framework to predict SGLT2 inhibitor treatment status and changes in SUA. Model interpretability and feature importance were performed using SHAP analysis. Eleven SGLT2 inhibitors acted on 32 targets associated with SUA reduction in HFpEF patients. Key pathways included tumor necrosis factor (TNF), advanced glycation end product-receptor for advanced glycation end product (AGE-RAGE), interleukin-17 (IL-17), and Kaposi's sarcoma-associated herpesvirus (KSHV) signaling. Molecular docking demonstrated favorable binding of SGLT2 inhibitors to core targets, including GAPDH, CASP3, ICAM1, ACE, DPP4, and AGTR1, with canagliflozin showing the strongest predicted binding affinity. Clinical data analyses identified uric acid and creatinine as the most important predictors in the machine learning model, reflecting their importance in model predictions. By integrating network pharmacology and retrospective clinical analysis, this study elucidates the potential uric acid-lowering mechanisms of SGLT2 inhibitors in HFpEF patients. The identified targets and pathways provide mechanistic insights into SGLT2 inhibitor pharmacology and support their therapeutic potential for managing hyperuricemia.",Frontiers in cardiovascular medicine,2026.0
148,42633066,Space radiation promotes clonal hematopoiesis and hematologic disease upon aging in a driver gene and sex-specific manner.,"The effects of space radiation on clonal hematopoiesis (CH) and its impact on long-term health outcomes are unknown. Using male and female murine models of <i>Trp53-</i>, <i>Ppm1d</i>-, and <i>Tet2</i>-mediated CH, we examined the effects of exposure to gamma radiation, simulated solar particle events, or simplified simulated galactic cosmic rays on the clonal expansion of mutant cells and long-term health outcomes. Radiation accelerated the expansion of <i>Trp53</i> and <i>Ppm1d</i>, but not <i>Tet2</i>, mutant clones. Over 18 months, male mice with <i>Trp53</i> mutant cells showed worse survival than controls, which was exacerbated following radiation exposure. The interaction between the mutation and radiation exposure was absent for the other driver genes and in female mice with <i>Trp53</i> mutations. Male mice with <i>Trp53</i> mutant cells exhibited evidence of hematologic disease and hematopoietic loss of the Y chromosome. Male astronauts with <i>TP53</i> clonal hematopoiesis may be at elevated risk of clone growth and hematologic disease following radiation exposure.",iScience,2026.0
207,42633266,Inflammation-triggered sensing and miRNA immunotherapy with a wireless battery-free hydrogel bioelectronic patch.,"Early diagnosis and timely intervention are crucial for the management of periodontal diseases driven by immune dysregulation. However, <i>in situ</i> sensing and drug delivery in the oral cavity remain challenging due to biological disparities between electronic devices and oral tissues. Here, we report a flexible, battery-free and hydrogel-based bioelectronics that integrates biological functions and wireless signal transmission for periodontal inflammation monitoring and localized microRNA (miRNA) immunomodulation. The hydrogel, synthesized from gelatin with bioactive peptide sequences cleavable by matrix metalloproteinases, responds specifically to protease activity associated with periodontal disease progression. Its enzymatic degradation is wirelessly transduced into quantitative radio-frequency signals of local immune activity, while simultaneously triggering the release of embedded miRNAs as critical immune regulators. <i>In vitro</i> and animal validations demonstrated diagnostic accuracy and therapeutic efficacy, leading to suppression of the inflammatory response. The combination of biosensing, wireless feedback and miRNA-based immunotherapy provides a closed-loop, adaptable platform for personalized management of periodontal and other inflammation-related disorders.",National science review,2026.0
165,42524382,Functional Varying-Index Coefficients Model for Dynamic Synergistic Gene-Environment Interactions.,"Human complex diseases are affected by both genetic and environmental factors. When multiple environmental risk factors are present, the interaction effect between a gene and the environmental mixture can be larger than the addition of individual interactions, resulting in the so-called synergistic gene-environment (G×E) interactions. Existing literature has shown the power of synergistic gene-environment interaction analysis with cross-sectional traits. In this work, we propose a functional varying index coefficient model for longitudinal traits together with multiple longitudinal environmental risk factors and assess how the genetic effects on a longitudinal disease trait are nonlinearly modified by a mixture of environmental influences. We derive an estimation procedure for the nonparametric functional varying index coefficients under the quadratic inference function and penalized spline framework. We evaluate some theoretical properties such as estimation consistency and asymptotic normality of the estimates. We further propose a hypothesis testing procedure to assess the significance of the synergistic G×E effect. The performance of the estimation and testing procedure is evaluated through Monte Carlo simulation studies. Finally, the utility of the method is illustrated by a real dataset from a pain sensitivity study in which SNP effects are nonlinearly modulated by a mixture of drug dosages and other environmental variables to affect patients' blood pressure and heart rate.",Statistics in biosciences,2026.0
227,40655353,Genomic Diversity and Antimicrobial Resistance of <i>Acinetobacter</i> sp.-A Pan Genome Analysis.,"<i>Acinetobacter baumannii</i> has been associated with severe clinically acquired infections. The prevalence of non-<i>A. baumannii</i>-linked diseases is now equivalent to that of <i>A. baumannii</i>-associated illnesses. Hence, this study intends to explore the genomic linkage of virulence and antibiotic resistance amongst the five <i>Acinetobacter</i> spp. (<i>A. baumannii</i>, <i>A</i>. <i>haemolyticus, A. johnsonni,</i> and <i>A. nosocomialis</i>) using pan genome analysis. The results revealed open pan genome in <i>Acinetobacter</i> sp. with increase in number of additional genes in pan genome. The resistance gene identifier revealed that <i>A. baumannii</i> was resistant to macrolides, fluoroquinolone, lincosamide, carbapenem, cephalosporin, tetracycline, rifamycin, diaminopyrimidine, phenicol antibiotics, and penem. Non-<i>A. baumannii sp. A. haemolyticus</i> had the Oxa beta lactamase gene (<i>Oxa</i>) with resistance to carbapenem, cephalosporin, penem. <i>A. johnsonii</i> had no perfect hits for resistance but showed weak similarity to <i>Oxa</i>. <i>A. nosocomialis</i> had resistance genes to fluoroquinoids. The prevalence of <i>Acinetobacter baumannii AbaQ</i> gene was found with <i>A. calcoaceticus</i> and <i>A. nosocomialis</i> sequences used in this study supporting the transformation of resistance genes between <i>Acinetobacter</i> sp. This comparative research underlines the need of differentiating between distinct <i>Acinetobacter</i> sp. infections with their genetic profile for accurate diagnosis and management based on their anti microbial resistance. The online version contains supplementary material available at 10.1007/s12088-024-01411-6.",Indian journal of microbiology,2025.0
